Title,Contents,Date
Praesent nec erat convallis,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.","Reported Dec 10, 2019"
she is very nice and patient.,she is very nice and patient,"Dec 7, 2019"
You just need to deal with the right adviser!,"They can be awful when it comes to customer service but Shannon was brilliant. After waiting 2 weeks for a delivery and refund issue to be resolved and after speaking to 12 customer service members, she sorted it after taking the time to read all previous history!That's the reason I can't give 5 stars - it took 2 weeks to resolve an issue but when it gets done right it's all good.","Dec 7, 2019"
Very informative and polite,Very informative and polite ! Good experience with Graeme,"Dec 7, 2019"
Non existent next day delivery,Very poor experience unfortunately  and very disappointing. Next day evening  delivery service that wont be used again as an option because my delivery never turned up. Also having to wait for 48hours for a response to find out where my delivery is or when it will be delivered to my is really not good either.,"Dec 7, 2019"
Helpful and polite,"Agent was very helpful and polite once I got through to one, gave me the answers I need to move forward with my query","Dec 7, 2019"
Stay well clear,Stay well clear. Take extra money from your bank and customer service do not want to know.,"Dec 7, 2019"
Useful help,Useful help - went beyond limits,"Dec 7, 2019"
Polite and kind,Polite and kind,"Dec 7, 2019"
Ella was so efficient in her advice and…,Ella was so efficient in her advice and she was very polite. I have had bad experiences with asos customer care and Ella has been one of the best i have come across. She deserves some recognition,"Dec 7, 2019"
Always friendly and helpful,Always friendly and helpful,"Dec 7, 2019"
fast and helpful,fast and helpful. I'll check if the package really did arrive on Sunday,"Dec 7, 2019"
Chat,Sometimes is very difficult to get in touch by chat with asos staff. But this is the second time and the quickest to resolve my issue. Really good job. Quick and efficient. Now only waitting for the refund as it sholud be. Thanks for your excelent work,"Updated Dec 7, 2019"
Jordon from customer service was very…,Jordon from customer service was very helpful,"Dec 7, 2019"
I enjoy ordering from ASOS I just have…,"I enjoy ordering from ASOS I just have a problem with finding the proper fit to my size which would help if you guys made a full fit guidance assistance by us putting our size on the system as well as the perfect fit for each item of clothing, cause each clothing has its own fit and measurements.","Dec 7, 2019"
replaced missing items quickly.,"really helpful through live chat. don't recommend facebook messenger even though that's an option through the website. message sat in chat for over two days. otherwise, a mix up in items got resolved immediately through live chat. satisfied! x","Dec 7, 2019"
ADEEBAH is the professional support!,ADEEBAH is the professional support!I love you :3,"Dec 7, 2019"
I LOVE ASOS,"I LOVE ASOS! I have only recently started shopping online. I'm an artist and work from home, so buying clothes has not always been a priority for me. However I had to attend a swish wedding so checked out all the sites. Asos is definitely the best in my humble opinion. I like all their brands, but I LOVE the ASOS brand..in terms of being incredibly chic, the colours, style and even the photography and poses of the models are better...other fashion sites seem really tacky by comparison. And the asos website is simple and clear in terms of graphics and text,, and easy to use. And affordable, especially with Afterpay. All my orders have arrived without a problem from the UK, and more quickly than sending a parcel from Tasmania to Sydney..I know this sounds gushy but I am absolutely thrilled to have discovered asos and won't bother shopping anywhere else, online or instore.","Dec 7, 2019"
Received a quick response from Jordon,"Received a quick response from Jordon. Answered my query, very helpful indeed!","Dec 7, 2019"
Jasmin was super helpful,Jasmin was super helpful. She helped me in no time and was super easy to work with. Glad that she was able to help me out today.,"Dec 7, 2019"
Excellent with Options,"Very easy to shop. Alot of the merchandise is in stock and in the correct sizes. The site has alot of options to choose from being name brand and unknown brands. Items are affordable and has good quality. Lastly, customer service is good. Fast communication through chat with clarification.","Updated Dec 7, 2019"
Narina was wonderful!!!,"Narina helped me with a mistake I made and was so kind and thoughtful. I have to say that she was not only wonderful, but having such wonderful customer service makes me want to continue to shop with you guys. Customer service can be a bit challenging at times and I have never once experienced that with you guy! I seriously love ASOS for this reason!","Updated Dec 7, 2019"
